movie_id,imdb_id,tmdb_id,rating,average_rating,title
108156,1408253,168530,5.0,3.19565,Ride Along (2014)
109487,0816692,157336,5.0,4.13366,Interstellar (2014)
109850,2369135,136797,3.0,2.90326,Need for Speed (2014)
111617,1086772,232672,2.0,3.34059,Blended (2014)
112138,2294449,187017,5.0,3.51298,22 Jump Street (2014)
112175,1646971,82702,3.5,3.73198,How to Train Your Dragon 2 (2014)
116977,2096672,100042,2.0,2.58222,Dumb and Dumber To (2014)
122904,1431045,293660,0.5,3.86403,Deadpool (2016)
126548,1666801,272693,0.5,3.35895,The DUFF (2015)
130634,2820852,168259,5.0,3.3688,Furious 7 (2015)
134130,3659388,286217,5.0,4.03725,The Martian (2015)
135861,2637276,214756,2.0,3.00984,Ted 2 (2015)
142032,2938956,287948,5.0,2.98269,The Transporter Refueled (2015)
146656,3076658,312221,3.0,3.65273,Creed (2015)
151739,1860213,291870,5.0,3.09544,Dirty Grandpa (2016)
156609,4438848,325133,5.0,2.95601,Neighbors 2: Sorority Rising (2016)
160271,1489889,302699,3.0,3.23681,Central Intelligence (2016)
170813,1469304,339846,1.0,2.83557,Baywatch (2017)
170875,4630562,337339,5.0,3.22769,The Fate of the Furious (2017)
192379,1213641,369972,5.0,3.64791,First Man (2018)
216402,9686708,579583,3.5,3.56193,The King of Staten Island (2020)
